,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.,Obesity - adult prevalence rate (%),Life expectancy at birth (years),H_bed_density,Imigrate_Rate,Pop_Density,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
0,Afghanistan,10.2,6.180614856144977,0.28,5.5,52.1,0.5,-0.6,4.007333185232471,0.03221288515406162,0.056022408963585436,2000.0,23.9
1,Albania,6.7,9.879271228182775,1.2,21.7,78.6,2.9,-3.3,4.672828834461906,0.05052631578947368,0.5221052631578947,12500.0,13.8
2,Algeria,6.6,8.955445270895245,1.83,27.4,77.2,1.9,-0.9,2.8903717578961645,0.157487922705314,0.3338164251207729,15200.0,11.7
3,Andorra,10.4,10.0,3.33,25.6,82.9,2.5,0.0,5.214935757608986,0.04704097116843703,0.19423368740515934,49900.0,3.7
4,Angola,2.9,8.432081593533118,0.21,8.2,60.6,3.2655405405405413,0.1,3.2188758248682006,0.10526315789473684,0.2631578947368421,6800.0,6.6
5,Anguilla,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,81.6,3.2655405405405413,11.5,5.2574953720277815,0.0,0.3333333333333333,12200.0,8.0
6,Antigua and Barbuda,4.3,9.9498743710662,2.76,18.9,76.9,3.8,2.1,5.384495062789089,0.08695652173913042,0.13043478260869565,26400.0,11.0
7,Argentina,7.5,9.954898291795853,3.96,28.3,77.5,5.0,-0.1,2.833213344056216,0.04297994269340974,0.22881702824396236,20900.0,8.4
8,Armenia,9.9,9.984988733093292,2.9,20.2,75.1,4.2,-5.6,4.634728988229636,0.014995313964386131,0.2483598875351453,9500.0,18.9
9,Aruba,6.536708860759492,9.874208829065749,1.910361445783132,18.593333333333337,77.1,3.2655405405405413,8.6,6.47543271670409,0.0,0.3478260869565217,37500.0,7.7
10,Australia,9.3,9.223027354217395,3.59,29.0,82.4,3.8,5.4,1.3862943611198906,0.009507481296758104,0.560785536159601,50400.0,5.6
11,Austria,10.4,9.223027354217395,5.14,20.1,81.7,7.6,4.4,4.663439094112067,0.02699283002952341,0.5365527906649796,50000.0,5.5
12,Azerbaijan,6.9,9.989994994993742,3.45,19.9,73.0,4.7,0.0,4.762173934797756,0.01086048454469507,0.2932330827067669,17500.0,5.0
13,Bahamas,6.4,9.223027354217395,1.94,31.6,72.9,3.2655405405405413,0.3152941176470587,0.0,0.16326530612244894,0.12244897959183673,32400.0,10.1
14,Bahrain,4.9,9.78263768111648,0.93,29.8,79.1,2.0,11.6,7.549082710812286,0.004581151832460733,0.4221204188481675,49000.0,3.6
15,Bangladesh,2.4,8.538149682454625,0.53,3.6,73.7,0.8,-3.0,6.980075940561763,0.045454545454545456,0.04150197628458498,4200.0,4.4
16,Barbados,7.0,9.979979959899719,2.49,23.1,75.7,5.8,-0.3,6.52649485957079,0.0684931506849315,0.2054794520547945,18600.0,10.1
17,Belarus,6.3,9.984988733093292,4.08,24.5,73.2,11.0,0.7,3.8501476017100584,0.010057909174032308,0.061871380676622977,18900.0,0.8
18,Belgium,10.0,9.223027354217395,3.32,22.1,81.2,6.2,5.2,5.940171252720432,0.1335839840611845,0.22070117934380928,46600.0,7.1
19,Belize,6.1,9.223027354217395,1.13,24.1,74.7,1.3,-0.6,2.8903717578961645,0.1111111111111111,0.0,8300.0,9.0
20,Benin,3.9,6.196773353931867,0.16,9.6,62.7,0.5,0.0,4.624972813284271,0.028571428571428567,0.5142857142857142,2300.0,1.0
21,Bermuda,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,81.5,3.2655405405405413,1.7,7.1846291527173145,0.08771929824561403,0.5263157894736842,99400.0,7.0
22,Bhutan,3.5,8.056053624449133,0.37,6.4,71.1,1.7,0.0,3.044522437723423,0.0,0.4,9000.0,3.2
23,Bolivia,6.9,9.617692030835672,1.61,20.2,69.8,1.1,-0.4,2.3978952727983707,0.07052896725440806,0.017632241813602016,7600.0,4.0
24,Bosnia and Herzegovina,9.2,9.924716620639604,1.89,17.9,77.1,3.5,-0.4,4.330733340286331,0.03693444136657433,0.21791320406278852,12800.0,20.5
25,Brazil,11.8,9.591663046625438,2.15,22.1,74.3,2.2,-0.1,3.258096538021482,0.06042672480921975,0.5460987385142502,15600.0,12.8
26,British Virgin Islands,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,78.9,3.2655405405405413,16.1,5.472270673671475,0.0,0.6666666666666666,34200.0,2.9
27,Brunei,2.3,9.797958971132712,1.77,14.1,77.5,2.7,2.3,4.3694478524670215,0.007352941176470587,0.7867647058823529,78900.0,6.9
28,Bulgaria,8.2,9.919677414109795,3.99,25.0,74.8,6.8,-0.3,4.174387269895637,0.049088359046283316,0.11360448807854134,21800.0,6.2
29,Burkina Faso,6.8,6.0,0.06,5.6,61.8,0.4,-0.7,4.290459441148391,0.05681818181818181,0.3352272727272727,1900.0,77.0
30,CAR,6.536708860759492,9.223027354217395,1.910361445783132,7.5,53.3,3.2655405405405413,0.3152941176470587,0.0,0.0,0.3636363636363637,0.0,0.0
31,Cabo Verde,5.2,9.316651759081692,0.77,11.8,72.7,3.2655405405405413,0.3152941176470587,0.0,0.09090909090909093,0.09090909090909093,7000.0,9.0
32,Cambodia,6.1,8.972179222463181,0.17,3.9,65.2,0.8,-0.3,4.5217885770490405,0.0,0.7868852459016393,4000.0,0.3
33,Cameroon,4.7,8.660254037844387,0.09,11.4,59.4,1.3,-0.1,4.007333185232471,0.01650943396226415,0.15330188679245282,3700.0,4.3
34,Canada,10.5,9.223027354217395,2.61,29.4,82.0,2.7,5.7,1.6094379124341003,0.0333665890699479,0.304289990023279,48400.0,6.3
35,Cayman Islands,6.536708860759492,9.944847912361455,1.910361445783132,18.593333333333337,81.4,3.2655405405405413,13.6,5.424950017481403,0.018518518518518517,0.1111111111111111,43800.0,4.0
36,Chad,4.5,4.722287581247038,0.05,6.1,57.5,3.2655405405405413,-0.1,2.5649493574615367,0.0,0.08695652173913042,2300.0,0.0
37,Channel Islands,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.029545454545454545,0.10909090909090907,0.0,0.0
38,Chile,8.5,9.843779761859771,1.08,28.0,79.1,2.2,0.3,3.2188758248682006,0.011620563344701277,0.3342175066312997,24600.0,6.7
39,China,5.0,9.818350166906862,1.79,6.2,75.8,4.2,-0.4,4.976733742420574,0.040610000607570335,0.9455738501731576,16700.0,3.9
40,Colombia,5.9,9.731392500562292,2.08,22.3,76.2,1.5,-0.6,3.7612001156935624,0.042631755622692176,0.1188318227593152,14400.0,9.3
41,Congo,4.6,8.905054744357274,0.12,9.6,60.3,3.2655405405405413,0.3152941176470587,0.0,0.06756756756756757,0.13513513513513514,6800.0,36.0
42,Costa Rica,7.6,9.889388252060893,1.15,25.7,78.9,1.1,0.8,4.59511985013459,0.0048543689320388345,0.10679611650485436,16900.0,8.1
43,Croatia,7.2,9.964938534682489,3.13,24.4,76.3,5.6,-1.4,4.330733340286331,0.0181924882629108,0.24354460093896715,24700.0,12.4
44,Cuba,12.2,9.989994994993742,8.19,24.6,78.9,5.2,-4.5,4.61512051684126,0.02741514360313316,0.17232375979112272,12300.0,2.6
