,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.,Obesity - adult prevalence rate (%),Life expectancy at birth (years),H_bed_density,Imigrate_Rate,Pop_Density,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
0,Belgium,10.0,9.223027354217397,3.32,22.1,81.2,6.2,5.2,5.9401712527204324,0.1335839840611845,0.22070117934380928,46600.0,7.1
1,Spain,9.2,9.91463564635635,4.07,23.8,81.8,3.0,7.5,4.59511985013459,0.10487762840399864,0.3878202918533839,38400.0,17.2
2,Libya,6.536708860759492,9.539392014169456,2.16,32.5,76.9,3.7,0.9,1.6094379124341005,0.028571428571428567,0.2571428571428571,9600.0,30.0
3,Israel,7.4,9.889388252060893,3.22,26.1,82.7,3.1,2.1,5.9532433342877855,0.010210858376224471,0.18221816370579447,36400.0,4.2
4,Switzerland,12.1,9.223027354217397,4.24,19.5,82.7,4.7,4.6,5.308267697401205,0.0452652683528686,0.5282233189389266,62100.0,3.2
5,Trinidad and Tobago,6.0,9.9498743710662,2.67,18.6,73.4,3.0,-5.8,5.472270673671474,0.07079646017699115,0.1504424778761062,31300.0,4.9
6,Anguilla,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,81.6,3.2655405405405413,11.5,5.2574953720277815,0.0,0.3333333333333333,12200.0,8.0
7,Norway,10.0,9.223027354217397,4.63,23.1,82.0,3.8,5.3,2.8903717578961645,0.020987467914842208,0.00483164728974785,72100.0,4.2
8,Azerbaijan,6.9,9.989994994993742,3.45,19.9,73.0,4.7,0.0,4.762173934797756,0.01086048454469507,0.2932330827067669,17500.0,5.0
9,Senegal,4.0,7.20416546173115,0.07,8.8,62.5,3.2655405405405413,-1.4,4.343805421853683,0.006688963210702341,0.6120401337792643,3500.0,48.0
10,Faeroe Islands,6.536708860759492,9.223027354217397,2.62,18.593333333333334,80.6,3.2655405405405413,0.3152941176470587,5.91558351079193,0.0,0.8858695652173914,40000.0,2.2
11,Mongolia,3.9,9.919677414109795,2.89,20.6,70.2,7.0,-0.8,1.0986122886681098,0.0,0.16666666666666666,13000.0,8.0
12,Sint Maarten,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,0.3152941176470587,5.91558351079193,0.17307692307692307,0.09615384615384616,0.0,0.0
13,Paraguay,7.8,9.731392500562293,1.37,20.3,77.6,1.3,-0.1,2.8903717578961645,0.049689440993788817,0.14285714285714285,12800.0,5.7
14,Guyana,4.5,9.407443861113391,0.8,20.2,68.9,1.6,-3.2,1.3862943611198906,0.1276595744680851,0.1702127659574468,8100.0,11.1
15,Argentina,7.5,9.954898291795852,3.96,28.3,77.5,5.0,-0.1,2.8332133440562166,0.04297994269340974,0.2288170282439624,20900.0,8.4
16,Cameroon,4.7,8.660254037844387,0.09,11.4,59.4,1.3,-0.1,4.007333185232471,0.01650943396226415,0.15330188679245282,3700.0,4.3
17,Myanmar,5.1,8.694826047713663,0.86,5.8,68.6,3.2655405405405413,0.3152941176470587,5.91558351079193,0.06349206349206349,0.031746031746031744,6300.0,4.0
18,Channel Islands,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,73.69005524861879,3.2655405405405413,0.3152941176470587,5.91558351079193,0.029545454545454545,0.10909090909090907,0.0,0.0
19,Greenland,6.536708860759492,10.0,1.87,18.593333333333334,72.9,8.2,-6.0,0.0,0.0,1.0,41800.0,9.1
